time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,time,price,asset_id
2025-01-01T05:00:00.0000000Z,2025-01-01T06:00:00.0000000Z,2025-01-01T05:00:06.1100000Z,2025-01-01T05:59:48.2090000Z,93355,93668,93345,93565,16.502194189999997,259,2025-01-01 05:00:00+00:00,93355,BTC
2025-01-01T06:00:00.0000000Z,2025-01-01T07:00:00.0000000Z,2025-01-01T06:00:05.7230000Z,2025-01-01T06:59:46.1550000Z,93572,93573,93355,93542,17.468782790000002,193,2025-01-01 06:00:00+00:00,93572,BTC
2025-01-01T07:00:00.0000000Z,2025-01-01T08:00:00.0000000Z,2025-01-01T07:00:01.2300000Z,2025-01-01T07:59:01.5890000Z,93551,93591,93441,93475,12.948498609999998,196,2025-01-01 07:00:00+00:00,93551,BTC
2025-01-01T08:00:00.0000000Z,2025-01-01T09:00:00.0000000Z,2025-01-01T08:02:36.6070000Z,2025-01-01T08:59:36.6390000Z,93495,93541,93126,93251,22.327621880000002,252,2025-01-01 08:00:00+00:00,93495,BTC
2025-01-01T09:00:00.0000000Z,2025-01-01T10:00:00.0000000Z,2025-01-01T09:00:01.1400000Z,2025-01-01T09:59:59.4030000Z,93245,93300,92768,93219,77.87750159000001,434,2025-01-01 09:00:00+00:00,93245,BTC
2025-01-01T10:00:00.0000000Z,2025-01-01T11:00:00.0000000Z,2025-01-01T10:00:43.7020000Z,2025-01-01T10:59:53.6570000Z,93185,93349,93091,93106,36.751885279999996,251,2025-01-01 10:00:00+00:00,93185,BTC
2025-01-01T11:00:00.0000000Z,2025-01-01T12:00:00.0000000Z,2025-01-01T11:00:01.0270000Z,2025-01-01T11:59:26.1010000Z,93133,93483,93007,93278,44.66453199000001,228,2025-01-01 11:00:00+00:00,93133,BTC
2025-01-01T12:00:00.0000000Z,2025-01-01T13:00:00.0000000Z,2025-01-01T12:00:00.5890000Z,2025-01-01T12:59:17.9840000Z,93261,93753,93204,93623,40.73634375,252,2025-01-01 12:00:00+00:00,93261,BTC
2025-01-01T13:00:00.0000000Z,2025-01-01T14:00:00.0000000Z,2025-01-01T13:00:01.0470000Z,2025-01-01T13:59:46.2240000Z,93615,93843,93415,93843,17.433355129999995,191,2025-01-01 13:00:00+00:00,93615,BTC
2025-01-01T14:00:00.0000000Z,2025-01-01T15:00:00.0000000Z,2025-01-01T14:00:00.9880000Z,2025-01-01T14:59:42.7920000Z,93824,94229,93494,93978,86.15135168000002,363,2025-01-01 14:00:00+00:00,93824,BTC
2025-01-01T15:00:00.0000000Z,2025-01-01T16:00:00.0000000Z,2025-01-01T15:00:01.6760000Z,2025-01-01T15:59:55.4770000Z,93979,94281,93718,94240,13.026740969999999,198,2025-01-01 15:00:00+00:00,93979,BTC
2025-01-01T16:00:00.0000000Z,2025-01-01T17:00:00.0000000Z,2025-01-01T16:00:00.5250000Z,2025-01-01T16:59:56.2540000Z,94213,94265,93730,93901,35.74661688000001,241,2025-01-01 16:00:00+00:00,94213,BTC
